Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
45.0,0.0,1075.0,27.0,1228.0,11.0,0.0,0.0,486.0,0.0,3867.0,1086.0,1.0,1.0,410.0,0.0,1569.0,12.0,1833.0,2.0
45.0,0.0,1072.0,27.0,1249.0,11.0,0.0,0.0,486.0,0.0,3844.0,1094.0,1.0,1.0,408.0,0.0,1168.0,19.0,1738.0,2.0
45.0,0.0,1106.0,27.0,1254.0,11.0,0.0,0.0,486.0,0.0,3883.0,1096.0,1.0,1.0,410.0,0.0,1204.0,19.0,1768.0,2.0
45.0,0.0,1153.0,27.0,1254.0,10.0,0.0,0.0,486.0,0.0,3827.0,1100.0,1.0,1.0,405.0,0.0,1204.0,19.0,1831.0,2.0
45.0,0.0,1144.0,27.0,1237.0,10.0,0.0,0.0,486.0,0.0,3994.0,1129.0,1.0,1.0,405.0,0.0,1213.0,19.0,1881.0,2.0
45.0,0.0,1147.0,27.0,1233.0,10.0,0.0,0.0,486.0,0.0,4031.0,1134.0,1.0,1.0,405.0,0.0,1199.0,19.0,1900.0,2.0
45.0,0.0,1152.0,27.0,1225.0,11.0,0.0,0.0,485.0,0.0,4229.0,1133.0,1.0,1.0,411.0,0.0,1186.0,19.0,1841.0,2.0
45.0,0.0,1144.0,27.0,1224.0,11.0,0.0,0.0,485.0,0.0,4254.0,1133.0,1.0,1.0,402.0,0.0,1178.0,19.0,1853.0,1.0
45.0,0.0,1124.0,27.0,1241.0,11.0,0.0,0.0,485.0,0.0,4246.0,1167.0,1.0,1.0,403.0,0.0,1186.0,19.0,1890.0,1.0
45.0,0.0,1107.0,28.0,1244.0,10.0,0.0,0.0,485.0,0.0,4241.0,1191.0,1.0,1.0,405.0,0.0,1192.0,19.0,1862.0,1.0
45.0,0.0,1104.0,27.0,1245.0,11.0,0.0,0.0,485.0,0.0,4243.0,1193.0,1.0,1.0,402.0,0.0,1201.0,20.0,1807.0,1.0
45.0,0.0,1104.0,27.0,1237.0,11.0,0.0,0.0,485.0,0.0,4225.0,1188.0,1.0,1.0,403.0,0.0,1213.0,19.0,1801.0,1.0
45.0,0.0,1112.0,27.0,1239.0,10.0,0.0,0.0,485.0,0.0,4019.0,1215.0,1.0,1.0,399.0,0.0,1161.0,19.0,1785.0,1.0
45.0,0.0,1123.0,27.0,1249.0,10.0,0.0,0.0,485.0,0.0,3735.0,1227.0,1.0,1.0,400.0,0.0,1185.0,19.0,1786.0,1.0
45.0,0.0,1143.0,26.0,1253.0,10.0,0.0,0.0,485.0,0.0,3642.0,1233.0,1.0,1.0,400.0,0.0,1189.0,19.0,1768.0,1.0
45.0,0.0,1068.0,27.0,1258.0,10.0,0.0,0.0,485.0,0.0,3678.0,1235.0,1.0,1.0,399.0,0.0,1214.0,19.0,1775.0,1.0
45.0,0.0,1046.0,26.0,1265.0,10.0,0.0,0.0,485.0,0.0,3887.0,1243.0,1.0,1.0,401.0,0.0,1229.0,19.0,1792.0,1.0
45.0,0.0,1043.0,27.0,1266.0,10.0,0.0,0.0,485.0,0.0,4037.0,1249.0,1.0,1.0,402.0,0.0,1250.0,19.0,1783.0,1.0
45.0,0.0,1065.0,27.0,1260.0,10.0,0.0,0.0,485.0,0.0,3917.0,1273.0,1.0,1.0,399.0,0.0,1258.0,19.0,1765.0,1.0
45.0,0.0,1052.0,26.0,1260.0,10.0,0.0,0.0,485.0,0.0,3908.0,1269.0,1.0,1.0,403.0,0.0,1259.0,19.0,1760.0,1.0
45.0,0.0,1078.0,27.0,1269.0,10.0,0.0,0.0,485.0,0.0,3664.0,1283.0,1.0,1.0,402.0,0.0,1253.0,19.0,1764.0,1.0
45.0,0.0,1075.0,27.0,1275.0,10.0,0.0,0.0,485.0,0.0,3825.0,1283.0,1.0,1.0,408.0,0.0,1234.0,19.0,1762.0,1.0
