"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area";"Technology";"Data Type";"Grid connection";"Year";Electricity statistics (MW/GWh)
"Afghanistan";"Total Renewable";"Electricity Installed Capacity (MW)";"All";"2000";191.5030
"Afghanistan";"Total Renewable";"Electricity Installed Capacity (MW)";"On-grid";"2000";191.5000
"Afghanistan";"Total Renewable";"Electricity Installed Capacity (MW)";"Off-grid";"2000";0.0030
"Afghanistan";"Total Renewable";"Electricity Generation (GWh)";"All";"2000";457.9390
"Afghanistan";"Total Renewable";"Electricity Generation (GWh)";"On-grid";"2000";457.9290
"Afghanistan";"Total Renewable";"Electricity Generation (GWh)";"Off-grid";"2000";0.0100
"Afghanistan";"Solar photovoltaic";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Solar photovoltaic";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Solar photovoltaic";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Solar photovoltaic";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Solar photovoltaic";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Solar photovoltaic";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Solar thermal energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Solar thermal energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Solar thermal energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Solar thermal energy";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Solar thermal energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Solar thermal energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Onshore wind energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Onshore wind energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
"Afghanistan";"Onshore wind energy";"Electricity Installed Capacity (MW)";"Off-grid";"2000";-
"Afghanistan";"Onshore wind energy";"Electricity Generation (GWh)";"All";"2000";-
"Afghanistan";"Onshore wind energy";"Electricity Generation (GWh)";"On-grid";"2000";-
"Afghanistan";"Onshore wind energy";"Electricity Generation (GWh)";"Off-grid";"2000";-
"Afghanistan";"Offshore wind energy";"Electricity Installed Capacity (MW)";"All";"2000";-
"Afghanistan";"Offshore wind energy";"Electricity Installed Capacity (MW)";"On-grid";"2000";-
